Time, Mask, Bat, Sts1, Sts2, Seq #,T1FX,T1FY,T1FZ,T1TX,T1TY,T1TZ
2078038999,  1, 5,    10882,        0, 28831, -8811580, -970139, -11750968, -25137, 582716, -78589
2078039016,  1, 5,    10882,        0, 28832, -8823962, -946118, -11802826, -25299, 583014, -78320
2078039033,  1, 5,    10882,        0, 28833, -8817744, -975814, -11772411, -25338, 583242, -78088
2078039050,  1, 5,    10882,        0, 28834, -8817976, -959111, -11771151, -25223, 583245, -78618
2078039066,  1, 5,    10882,        0, 28835, -8810838, -970749, -11750668, -25305, 582995, -78598
2078039083,  1, 5,    10882,        0, 28836, -8818353, -949712, -11782488, -24991, 582781, -78398
2078039100,  1, 5,    10882,        0, 28837, -8805631, -942570, -11750897, -24598, 583263, -78799
2078039117,  1, 5,    10882,        0, 28838, -8809998, -962296, -11770833, -25410, 582899, -78722
2078039134,  1, 5,    10882,        0, 28839, -8817991, -976083, -11812538, -25339, 583057, -78438
2078039150,  1, 5,    10882,        0, 28840, -8832493, -957935, -11812316, -25228, 582590, -78640
2078039167,  1, 5,    10882,        0, 28841, -8808413, -919291, -11771684, -25271, 582620, -78603
2078039184,  1, 5,    10882,        0, 28842, -8809347, -946276, -11792633, -25288, 583102, -78312
2078039201,  1, 5,    10882,        0, 28843, -8810265, -970068, -11790768, -25468, 582517, -78946
